latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-34.622143,-58.40909,19.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),wind_speed_100m (km/h)
2024-01-02T00:00,23.0,0.20,77,29.6
2024-01-02T01:00,21.6,0.20,75,36.8
2024-01-02T02:00,20.8,0.40,80,35.5
2024-01-02T03:00,21.5,0.20,82,35.4
2024-01-02T04:00,21.6,0.00,83,32.6
2024-01-02T05:00,21.8,0.40,82,27.5
2024-01-02T06:00,21.1,1.20,85,27.3
2024-01-02T07:00,21.5,0.20,82,33.4
2024-01-02T08:00,21.1,0.00,80,31.4
2024-01-02T09:00,20.8,0.00,83,29.0
2024-01-02T10:00,20.7,0.00,82,29.0
2024-01-02T11:00,21.1,0.30,79,23.4
2024-01-02T12:00,21.2,1.70,81,14.4
2024-01-02T13:00,23.8,0.40,74,15.5
2024-01-02T14:00,24.5,0.00,72,20.9
2024-01-02T15:00,25.0,0.00,68,23.0
2024-01-02T16:00,25.4,0.00,64,24.1
2024-01-02T17:00,25.8,0.00,62,25.6
2024-01-02T18:00,25.6,0.00,61,29.5
2024-01-02T19:00,25.9,0.00,60,31.9
2024-01-02T20:00,25.5,0.00,61,30.5
2024-01-02T21:00,24.8,0.00,67,32.5
2024-01-02T22:00,24.0,0.00,72,34.4
2024-01-02T23:00,22.9,0.00,81,35.6
2024-01-03T00:00,22.6,0.00,80,32.4
2024-01-03T01:00,23.0,0.00,77,32.6
2024-01-03T02:00,22.7,0.00,76,36.1
2024-01-03T03:00,22.3,0.00,76,33.4
2024-01-03T04:00,22.0,0.00,77,30.5
2024-01-03T05:00,21.6,0.00,79,30.8
2024-01-03T06:00,21.4,0.00,80,33.0
2024-01-03T07:00,21.2,0.00,81,31.6
2024-01-03T08:00,20.9,0.00,84,29.4
2024-01-03T09:00,20.7,0.10,86,27.7
2024-01-03T10:00,21.3,0.10,83,26.0
2024-01-03T11:00,22.0,0.00,79,26.5
2024-01-03T12:00,22.6,0.10,76,25.3
2024-01-03T13:00,24.0,0.20,71,25.5
2024-01-03T14:00,25.0,0.20,67,27.1
2024-01-03T15:00,25.4,0.10,66,28.5
2024-01-03T16:00,26.0,0.00,63,29.3
2024-01-03T17:00,26.6,0.10,59,31.0
2024-01-03T18:00,26.8,0.10,57,29.5
2024-01-03T19:00,26.5,0.00,59,33.1
2024-01-03T20:00,26.2,0.10,62,37.3
2024-01-03T21:00,25.2,1.10,70,37.4
2024-01-03T22:00,24.6,0.00,74,38.8
2024-01-03T23:00,24.0,0.00,76,37.7
2024-01-04T00:00,24.0,0.00,76,36.0
2024-01-04T01:00,23.9,0.00,81,36.6
2024-01-04T02:00,24.4,0.00,77,37.1
2024-01-04T03:00,24.4,0.00,61,36.0
2024-01-04T04:00,23.6,0.00,65,38.6
2024-01-04T05:00,22.9,0.00,69,37.0
2024-01-04T06:00,22.3,0.00,73,34.8
2024-01-04T07:00,21.8,0.00,76,33.6
2024-01-04T08:00,21.5,0.00,79,31.0
2024-01-04T09:00,21.3,0.00,80,28.2
2024-01-04T10:00,21.9,0.00,78,26.2
2024-01-04T11:00,22.4,0.00,76,25.2
2024-01-04T12:00,22.8,0.00,74,25.1
